# Live top-level children of Figma page 4914:113562 ("✅ Social") in file 3sSzw1KewMtUbeLAv7uW0r.
# Harvested 2026-08-20 via use_figma (page.children, in document order). n = 442.
# Columns: nodeId <TAB> type <TAB> WxH <TAB> x,y <TAB> live name (VERBATIM — trailing spaces,
# double spaces and the stray ")" on 11400:91695 are all as Figma holds them; do not tidy).
# Node ids use COLONS here (Figma's native form). registry.json / *.nodes.txt use DASHES.
5015:179843	FRAME	1440x900	17482,12800	Skai > Social > Live > Stream type modal > Sample stream 1VH (1440 x 900px)
5025:182851	FRAME	313x662	19022,12864	Multi-panel - live chat
5026:183371	FRAME	313x662	19022,13626	Multi-panel - live chat - with rewards
5024:182233	FRAME	313x662	19435,12864	Multi-panel - live chat > Gift streamer
5010:179221	FRAME	1047x661	16335,7616	Stream panel - followed
10094:244396	FRAME	1440x900	17482,11600	Skai > Social > Live > Stream type modal > Sample stream > Share stream 1VH (1440 x 900px)
5000:163464	FRAME	1440x2548	17482,8752	Skai > Social > Live > Stream type modal > Sample stream (1440 x 900px)
5000:162336	FRAME	313x662	19022,7616	Multi-panel - live chat
10018:198650	FRAME	313x662	20299,7616	Multi-panel - live chat > selected sample
5000:163102	FRAME	313x662	19022,8378	Multi-panel - live chat - typing
10025:230712	FRAME	313x662	19022,9140	Multi-panel - live chat - style alternate
5000:162965	FRAME	313x662	19435,7616	Multi-panel - live chat - multicolour ALT
5011:179270	WIDGET	342x382	19857,7756	Notes
5025:183213	WIDGET	342x287	19857,13052	Notes
5023:181955	RECTANGLE	1600x900	15782,12800	Skai-chat-interface 1
5097:183527	WIDGET	342x249	16812,9177	Notes
5122:203595	WIDGET	342x211	1562,33985	Notes
5222:12679	WIDGET	342x249	1562,43954	Notes
5160:209346	WIDGET	342x230	34359,6387	Notes
5165:268520	WIDGET	342x249	34236,13802	Notes
5194:270743	FRAME	1440x900	44126,2801	Skai > Social > Groups - search 1VH (1440 x 900px)
10219:182536	FRAME	1144x674	42883,3045	Table ALT
5198:47891	FRAME	1440x900	44126,5201	Skai > Social > Groups - search > Discover 1VH (1440 x 900px)
5198:51022	FRAME	1440x900	44126,7601	Skai > Social > Groups - search > Discover > Join gated group 1VH (1440 x 900px)
5198:50314	FRAME	1440x900	44126,6401	Skai > Social > Groups - search > Created 1VH (1440 x 900px)
5198:47082	FRAME	1440x900	44126,4001	Skai > Social > Groups - search - empty 1VH (1440 x 900px)
5198:62746	FRAME	1440x900	44126,8801	Skai > Social > Groups - search - empty > Create group 1VH (1440 x 900px)
5198:63614	FRAME	442x1003	45666,8809	Right menu
5198:63742	FRAME	442x1565	46208,8809	Right menu - token gated + rules
5198:9829	WIDGET	342x287	32295,14784	Notes
5198:9875	WIDGET	342x458	32325,19359	Notes
5198:50998	WIDGET	342x230	45675,6745	Notes
5202:63932	FRAME	1440x1539	44126,10001	Skai > Social > Groups - search > Discover > View group (1440 x 900px)
5203:64550	FRAME	1440x1539	44126,11840	Skai > Social > Groups - search > Discover > View group (1440 x 900px)
5206:31322	FRAME	761x928	45666,12378	Members - block/remove
10227:200546	FRAME	761x928	46547,12378	Members - with requests
5204:65392	FRAME	1440x1539	44126,13679	Skai > Social > Groups - search > Discover > View group (1440 x 900px)
10232:200912	FRAME	1440x900	44126,15518	Skai > Social > Groups - search > Discover > View group > Adjust settings (1440 x 900px)
5206:31298	WIDGET	342x325	45666,13613	Notes
5207:42693	FRAME	248x844	-348,4065	sidebar - open discover
9626:39285	FRAME	250x168	1496,11715	dropdown-creators
11530:303043	FRAME	220x160	6819,11538	dropdown-creators
11530:303066	FRAME	200x160	11752,11211	dropdown-creators
10256:135335	FRAME	250x206	1496,5074	dropdown-post select
11530:302842	FRAME	220x196	6819,5074	dropdown-post select
11530:302866	FRAME	200x196	10977,5074	dropdown-post select
9626:208767	FRAME	250x206	1496,15627	dropdown-posts
11530:303089	FRAME	220x196	6819,15285	dropdown-posts
11530:303116	FRAME	200x196	11752,15285	dropdown-posts
9636:208873	FRAME	250x168	1496,17785	dropdown-tokens
11530:303143	FRAME	220x160	6819,17273	dropdown-tokens
11530:303164	FRAME	200x160	11725,17273	dropdown-tokens
9640:213620	FRAME	250x206	1506,27487	dropdown-balances
11530:303185	FRAME	220x196	6819,27838	dropdown-balances
11530:303236	FRAME	200x196	11752,27781	dropdown-balances
9640:214077	FRAME	250x168	1506,29287	dropdown-tokens
11530:303208	FRAME	220x160	6819,29327	dropdown-tokens
11530:303259	FRAME	200x160	11752,29327	dropdown-tokens
9646:214871	FRAME	250x92	1506,32692	dropdown-followers/following
11530:303287	FRAME	220x88	6819,32784	dropdown-followers/following
11530:303293	FRAME	200x84	11752,32793	dropdown-followers/following
9657:215247	FRAME	1440x900	-1630,38519	Skai > Social - with "tweets" > comment thread (1440 x 900px)
