section	nodeId	change	title	why	implFiles
social	11407-106086	ADDED	Skai > Social > view story 1VH (1440 x 900px)	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
social	11407-107575	ADDED	Skai > Social > view story - my story 1VH (1440 x 900px)	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
social	11407-148353	ADDED	Skai > Social > view story - my story > Story settings 1VH (1440 x 900px)	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
social	11459-187396	ADDED	content	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
social	11380-24252	ADDED	dropdown - right click	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
social	11387-73530	ADDED	dropdown - right click	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
social	11398-85209	ADDED	dropdown - tridots - reply	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
social	11398-85199	ADDED	dropdown-group filter	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
social	11398-85189	ADDED	dropdown-members	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
social	11341-85236	ADDED	Skai > Play 1VH (375 x 812px)	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
social	11341-88388	ADDED	Skai > Play 1VH (375 x 812px)	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
social	11367-22805	ADDED	Skai > Play 1VH (375 x 812px)	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
social	11380-23801	ADDED	Skai > Play 1VH (375 x 812px)	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
social	11380-24302	ADDED	Skai > Play 1VH (375 x 812px)	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
social	11365-21892	ADDED	Skai > Play 1VH (375 x 812px)	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
social	11373-23253	ADDED	Skai > Play 1VH (375 x 812px)	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
social	11365-22320	ADDED	Skai > Play 1VH (375 x 812px)	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
social	11368-23343	ADDED	Skai > Play 1VH (375 x 812px)	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
social	11373-23529	ADDED	Skai > Play 1VH (375 x 812px)	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
social	11380-24565	ADDED	Skai > Play 1VH (375 x 812px)	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
social	11387-74801	ADDED	Skai > Play 1VH (375 x 812px)	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
social	11380-24969	ADDED	Skai > Play 1VH (375 x 812px)	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
social	11373-22600	ADDED	Skai > Play 1VH (375 x 812px)	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
social	11369-24298	ADDED	Skai > Play 1VH (375 x 812px)	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
social	11373-22256	ADDED	Skai > Play 1VH (375 x 812px)	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
social	11373-22885	ADDED	Skai > Play 1VH (375 x 812px)	New frame in Figma with no catalog row -- needs implementation or an explicit out-of-scope note	
