# bug-report Figma node-id -> catalog frame that covers it
# reason: child     = referenced node is a descendant of the catalog frame
#         page      = report linked a whole Figma page, not a frame
#         gone      = node-id no longer resolves in the Figma file
#         copy-file = report linked a DUPLICATE Figma file; node-ids are
#                     preserved by a Figma file copy, so the same id in the
#                     primary Skai-Web-App file is the covering frame
# a refNode may carry a "<fileKey>:" prefix when it is not the primary file
# refNode	catalogNode	reason	refs	openRefs	sampleReportId8
8043-27827	8045-116170	child	1	1	88288f9d
8043-27892	8045-116552	child	1	1	4f24da8b
8045-103056	8045-114969	child	3	0	8e1c5479
8045-103064	8045-114969	child	2	0	2646f564
8361-28434	8320-71829	child	1	0	292f5769
8370-74105	7704-47027	child	1	1	5dc8e016
8376-76875	7713-13706	child	1	0	bb128873
8379-78964	7709-10525	child	2	0	010b860d
8379-79458	7713-13398	child	1	0	13da8892
8488-31338	7713-16630	child	1	0	02c2429b
8490-34410	7892-19337	child	1	1	20e7261f
8490-39244	7935-65088	child	1	0	5f965635
8490-39444	7935-65586	child	2	0	e22e41a4
8495-33201	8045-105652	child	1	0	0bcc3d8c
8529-34224	8045-105940	child	3	0	2b91238a
8529-34225	8045-105940	child	6	0	05065e51
8529-34876	8045-105940	child	1	0	e62a4ef9
8529-36470	8529-35743	child	1	0	17d6b68d
8529-38965	8045-105940	child	1	0	144f1677
8554-117147	8045-113082	child	1	0	0b16dc7d
8554-117156	8045-113082	child	2	0	4dfccba6
8554-117180	8045-113082	child	2	0	75e8a03a
8554-117204	8045-113082	child	1	0	c1ad905e
8554-117210	8045-113082	child	1	0	db4243e5
8554-117217	8045-113082	child	1	0	0e5bbb72
8554-118545	8045-114368	child	1	0	5fa42c75
8611-28556	8045-114969	child	1	0	bfb49b18
9002-157019	9002-157018	child	3	0	43d6d6bf
9002-157020	9002-157018	child	3	0	3c72f7fb
9002-157023	9002-157018	child	1	1	93e231dc
9002-157027	9002-157018	child	1	0	e63a479a
9002-157042	9002-157018	child	3	0	6bd63aa4
9002-157069	9002-157018	child	1	1	7cd6457b
9002-157082	9002-157018	child	2	0	96558cb1
9002-157083	9002-157018	child	1	0	3008bb02
9002-158102	9002-157018	child	2	0	14415cfe
9002-158176	9002-157018	child	1	1	1cc4aa79
9002-161564	9002-161563	child	1	1	29abbbff
9002-161628	9002-161563	child	1	1	78e77840
9002-161672	9002-161563	child	1	1	957f7353
9045-168678	9045-167521	child	1	0	e21a3f51
9045-168695	9045-167521	child	1	1	f13fba57
9045-170903	9045-168925	child	2	1	175d6940
9045-170915	9045-168925	child	1	1	fd804cc9
9045-170916	9045-168925	child	1	1	075b3007
9045-170972	9045-168925	child	1	1	f1beb629
9045-172570	9045-171162	child	1	0	54076b4f
9045-172663	9045-171162	child	1	1	722269f9
9045-174614	9045-174613	child	1	1	91b15f73
9050-208187	9050-208186	child	1	1	04283998
9050-212444	9050-209536	child	1	1	7d64d9ac
9050-212504	9050-212503	child	1	1	c38da7c5
9050-213899	9050-212503	child	1	1	12f2a22e
