9153-85888	PnL post - down with profit ALT
9156-139557	PnL post - down with profit ALT
4201-128723	Skai > Trade > Perpetual futures > Funding history (1440 x 900px)
4144-63925	Advanced functions (approved)
4144-64090	Notes
4191-121142	Notes
4020-49491	Skai > Trade > Perpetual futures > Assets (1440 x 900px)
7890-121544	Positions - TP/SL
7890-122280	Positions - Pages form
4020-44966	Skai > Trade > Perpetual futures > Positions > Edit running SL/TP (1440 x 900px)
7890-130783	Update position modal - on:hover
7890-130857	Update position modal - on:hover - additional position
3903-25954	Trade panel - Long
3903-26048	Trade panel - Short
3903-26142	Trade panel - Short with value
3925-44912	Expanded
7645-110947	Rectangle 161
9002-157016	Breakpoint
9056-216827	Breakpoint
3931-88035	Breakpoint
9102-299597	Breakpoint
9102-299599	Breakpoint
7679-71122	AI card - shouty
7679-71196	dropdown-time
7746-180909	sidebar - open - spot
3931-88037	Breakpoint
9069-258419	Breakpoint
9069-258421	Breakpoint
7888-96627	Notes
3903-26337	Directory
3931-88028	Directory
3903-26850	Notes
3903-26874	Rectangle 156
3931-88031	Rectangle 157
3908-41145	tool-tip
4142-61420	Notes
4341-23072	Vector
9000-122588	Notes
4437-112650	Skai > Dashboard - positive 1VH (1440 x 900px)
4451-126554	Skai > Dashboard > Whale activity 1VH (1440 x 900px)
4451-126989	Skai > Dashboard > Reports 1VH (1440 x 900px)
4459-127765	Skai > Dashboard > News 1VH (1440 x 900px)
7890-141568	Rectangle 164
7761-226532	Rectangle 162
7886-84306	tool-tip
9135-86713	tool-tip
7890-128681	dropdown-3
7890-139989	dropdown - filter
9152-89094	dropdown - filter
9156-133437	dropdown - filter
8572-81614	telegram-cloud-photo-size-4-5935980438046313910-y 1
8572-81617	telegram-cloud-photo-size-4-5935980438046313909-y 1
8573-152757	Screenshot 2026-07-06 at 8.24.17 PM 1
8650-98182	Rectangle 34624579
8650-98183	Rectangle 34624580
8666-109490	Skai > Trade > Spot 1VH (375 x 812px)
8684-162077	Skai > Trade > Spot 1VH (375 x 812px)
8684-162456	Skai > Trade > Spot 1VH (375 x 812px)
8687-99711	Skai > Trade > Spot 1VH (1440 x 900px)
8687-103072	Skai > Trade > Spot - modal 1VH (375 x 812px)
8700-103509	Skai > Trade > Spot - modal 1VH (768 x 1024px)
8705-169313	telegram-cloud-photo-size-1-5075675192754900172-y 1
8994-76734	Frame 456
8994-77492	Frame 1220
8994-77623	Frame 1221
8994-77761	Frame 1222
8994-77870	Frame 1223
8994-78004	Frame 1224
9002-157018	Skai > Trade > Spot 1VH (768 x 1024px)
9780-145861	Skai > Trade > Spot chart tools collapsed 1VH (768 x 1024px)
9154-119891	Skai > Trade > Perpetual Futures 1VH (375 x 812px)
9154-121608	Skai > Trade > Perpetual Futures 1VH (375 x 812px)
9153-116609	Skai > Trade > Perpetual Futures 1VH (375 x 812px)
9153-118323	Trade panel - Long
9153-86643	Skai > Trade > Perpetual Futures - Market long 1VH (375 x 812px)
9801-122252	Skai > Trade > Perpetual Futures - Market long - user not signed in 1VH (375 x 812px)
9102-300724	Skai > Trade > Perpetual Futures - Market long 1VH (768 x 1024px)
9137-86763	Skai > Trade > Perpetual Futures - Market long 1VH (768 x 1024px)
9135-85233	Skai > Trade > Perpetual Futures 1VH (768 x 1024px)
9137-88222	Skai > Trade > Perpetual Futures > cross/isolated 1VH (768 x 1024px)
9148-79309	Skai > Trade > Perpetual futures > Market > Search pairs 1VH (768 x 1024px)
9148-80746	Skai > Trade > Perpetual Futures > Order confirmation 1VH (768 x 1024px)
9154-123038	modal - confirm order SHORT
9148-82614	Skai > Trade > Perpetual Futures > Positions (768 x 1024px)
9934-141532	Skai > Trade > Perpetual Futures > Positions - collapsed (768 x 1024px)
9152-84122	Skai > Trade > Perpetual Futures > Assets (768 x 1024px)
9152-86271	Skai > Trade > Perpetual Futures > Order history (768 x 1024px)
9934-144131	Skai > Trade > Perpetual Futures > Order history - collapsed (768 x 1024px)
9152-92016	section
9152-89103	Skai > Trade > Perpetual Futures > Trade history (768 x 1024px)
9152-91623	section
9150-79379	section
9152-85551	section
9150-79555	section
9152-87497	section
9152-90527	Skai > Trade > Perpetual Futures > Funding history (768 x 1024px)
9152-81364	Skai > Trade > Perpetual Futures > Orders (768 x 1024px)
9509-171503	icons/action
9148-82240	modal - confirm order SHORT
9135-80712	Skai > Trade > Perpetual Futures - user not signed in 1VH (768 x 1024px)
9135-79087	Skai > Trade > Perpetual Futures - full 1VH (768 x 1024px)
9135-77637	Skai > Trade > Perpetual Futures - Market long ALT 1VH (768 x 1024px)
9069-263248	Skai > Dashboard - positive 1VH (375 x 812px)
9081-266034	Skai > Dashboard > Reports 1VH (375 x 812px)
9081-267604	Skai > Dashboard > News 1VH (375 x 812px)
9081-267988	Skai > Dashboard > Whale activity 1VH (375 x 812px)
9069-259546	Skai > Trade > Spot > Chart settings 1VH (768 x 1024px)
9069-261150	Skai > Dashboard - positive 1VH (768 x 1024px)
9081-265572	Skai > Dashboard > Reports 1VH (768 x 1024px)
9081-267317	Frame 1264
9081-266293	Skai > Dashboard > News 1VH (768 x 1024px)
9081-266657	Skai > Dashboard > Whale activity 1VH (768 x 1024px)
9081-268243	Frame 1267
9050-209536	Skai > Trade > Spot - indicator dropdown 1VH (768 x 1024px)
9050-212503	Skai > Trade > Spot - timeframe dropdown 1VH (768 x 1024px)
9061-243175	Skai > Trade > Spot - candles dropdown 1VH (768 x 1024px)
9050-214062	Skai > Trade > Spot > layout settings 1VH (768 x 1024px)
9050-215425	Skai > Trade > Spot - new layout 1VH (768 x 1024px)
9045-167521	Skai > Trade > Spot - market 1VH (768 x 1024px)
9106-77805	Frame 1271
9105-77267	Trade panel - Long
9105-77093	Trade panel - Short
9105-77432	Trade panel - Short with value
9045-170329	Trade panel - buy
9045-170453	Trade panel - sell
9045-170740	Trade panel - sell with value
9045-168925	Skai > Trade > Spot - limit 1VH (768 x 1024px)
9045-171162	Skai > Trade > Spot - pro - dropdown 1VH (768 x 1024px)
9045-174613	Frame 1233
9045-174230	Frame 1234
9045-174360	Frame 1235
9045-186284	Skai > Trade > Spot - pro - trigger - ALT 1VH (768 x 1024px)
9045-187547	Skai > Trade > Spot - pro - TP/SL - ALT 1VH (768 x 1024px)
9045-188835	Skai > Trade > Spot - pro - scaled order - ALT 1VH (768 x 1024px)
9042-164814	Skai > Trade > Spot - full 1VH (768 x 1024px)
9050-210827	Frame 1238
9002-158964	Skai > Trade > Spot > Sidebar 1VH (768 x 1024px)
9002-161526	dropdown-time
9061-258382	dropdown-time
9002-162080	AI alert types
9002-161563	Skai > Trade > Spot - info 1VH (768 x 1024px)
9045-170994	Trade panel - Limit
9048-190933	Skai > Trade > Spot > Search pairs 1VH (768 x 1024px)
9059-238612	Frame 1248
9059-238601	Frame 1249
9050-206715	Skai > Trade > Spot > Limit > Search pairs > Trench - search 1VH (768 x 1024px)
9048-192225	Select pair - USDC
9048-192507	Select pair - Favorites
9050-208186	Skai > Trade > Spot - simlified chart 1VH (768 x 1024px)
9050-210996	Frame 1239
9050-211728	Frame 1240
9050-211896	Frame 1241
9050-211139	Tool
9059-238855	Skai > Trade > Spot > Selected pairs 1VH (375 x 812px)
9061-240412	Skai > Trade > Spot > Selected pairs 1VH (375 x 812px)
9061-240109	Selected pair - USDC
9061-240254	Selected pair - Favorites
9777-109249	dropdown-3
9081-265513	Frame 627
9081-273284	sidebar - open
9081-273208	sidebar - open
9114-78042	Frame 1279
9114-77711	Trade panel - Short
9114-77881	Trade panel - Short with value
9152-79912	Skai > Trade > Perpetual Futures > Positions > Edit running SL/TP 1VH (768 x 1024px)
9152-81212	Update position modal - on:hover
9152-81278	Update position modal - on:hover - additional position
9154-124727	Update position modal - on:hover
9154-124786	Update position modal - on:hover - additional position
9153-80772	Skai > Trade > Perpetual Futures 1VH (768 x 1024px)
9154-119745	modal
9154-128095	Skai > Trade > Perpetual Futures 1VH (375 x 812px)
9156-140326	Skai > Trade > Perpetual Futures 1VH (375 x 812px)
9156-141722	Skai > Trade > Perpetual Futures 1VH (375 x 812px)
9264-85987	Skai > Trench - actual 1VH (768 x 1024px)
9403-133956	Skai > Trench - actual 1VH (768 x 1024px)
9403-140971	Skai > Trench - actual 1VH (375 x 812px)
9419-149915	Skai > Trench - actual 1VH (375 x 812px)
9419-151234	Skai > Trench - actual 1VH (375 x 812px)
9403-142103	Skai > Trench - actual 1VH (375 x 812px)
9264-89796	Skai > Trade > Perpetual Futures 1VH (375 x 812px)
9403-139616	Skai > Trade > Perpetual Futures 1VH (375 x 812px)
9403-143235	Skai > Trade > Perpetual Futures 1VH (375 x 812px)
9403-146317	Skai > Trade > Perpetual Futures 1VH (375 x 812px)
9477-67940	Skai > Trade > Perpetual Futures 1VH (375 x 812px)
9477-72630	Skai > Trade > Perpetual Futures 1VH (375 x 812px)
9550-128469	Skai > Trade > Perpetual Futures 1VH (375 x 812px)
9477-71040	Skai > Trade > Perpetual Futures 1VH (375 x 812px)
9414-148035	Skai > Trade > Perpetual Futures 1VH (375 x 812px)
9477-69530	Skai > Trade > Perpetual Futures 1VH (375 x 812px)
9422-152634	Skai > Trade > Perpetual Futures 1VH (375 x 812px)
9403-144446	Skai > Trade > Perpetual Futures 1VH (375 x 812px)
9432-157179	Skai > Trade > Perpetual Futures 1VH (375 x 812px)
9432-159649	Frame 1302
9432-158544	Frame 1301
9264-91009	Skai > Trade > Perpetual Futures 1VH (375 x 812px)
9380-78308	Skai > Trade > Perpetual Futures 1VH (375 x 812px)
9380-79739	Skai > Trade > Perpetual Futures 1VH (375 x 812px)
9379-131684	Skai > Trade > Perpetual Futures 1VH (375 x 812px)
9373-129956	Skai > Trade > Perpetual Futures 1VH (375 x 812px)
9264-93524	Expanded
9359-164137	Screen Shot 2026-07-16 at 11.30.13 1
9359-164138	Screen Shot 2026-07-16 at 11.30.09 1
9380-81125	Screen Shot 2026-07-16 at 21.47.15 1
9380-81126	Screen Shot 2026-07-16 at 21.51.32 1
9432-160801	Rectangle 34624583
9433-134503	Screen Shot 2026-07-17 at 15.29.29 1
9433-134504	Screen Shot 2026-07-17 at 15.29.23 1
9433-134505	Screen Shot 2026-07-17 at 15.29.18 1
9553-131170	Skai > Trade > Spot 1VH (375 x 812px)
9553-133106	Skai > Trade > Spot 1VH (375 x 812px)
9553-132254	Frame 444
9553-132827	Instant trade
9774-89965	date range
9776-96834	Skai > Trade > Spot (375 x 812px)
9803-129761	Skai > Trade > Spot (375 x 812px)
9803-131052	Skai > Trade > Spot (375 x 812px)
9777-99794	Skai > Trade > Spot > Order book 1VH (375 x 812px)
9777-101670	Skai > Trade > Spot > Trades 1VH (375 x 812px)
9777-102315	Skai > Trade > Spot > Trades (375 x 812px)
9776-98249	AI alert types
9776-98250	On:Hover
9776-97982	Frame 1355
9777-104193	Skai > Trade > Spot 1VH (375 x 812px)
9777-105690	Chart - Line
9777-105846	Chart - Area
9777-105532	Chart - Area
9780-143009	Skai > Trade > Spot > Chart settings 1VH (375 x 812px)
9803-133258	Skai > Trade > Perpetual Futures - Positions (375 x 812px)
9804-135230	Skai > Trade > Perpetual Futures - Positions - collapsed (375 x 812px)
9804-136992	Skai > Trade > Perpetual Futures - Positions - dropdown (375 x 812px)
9804-139692	Skai > Trade > Perpetual Futures - Orders (375 x 812px)
9804-145379	Skai > Trade > Perpetual Futures - Assets (375 x 812px)
9804-147360	Skai > Trade > Perpetual Futures - Assets - collapsed (375 x 812px)
9804-149370	Skai > Trade > Perpetual Futures - Order history (375 x 812px)
9804-152885	Skai > Trade > Perpetual Futures - Trade history (375 x 812px)
9804-154738	Skai > Trade > Perpetual Futures - Funding history (375 x 812px)
9804-150628	Skai > Trade > Perpetual Futures - Order history - collapsed (375 x 812px)
9804-141566	Skai > Trade > Perpetual Futures - Orders - collapsed (375 x 812px)
9804-143394	Skai > Trade > Perpetual Futures - Orders - collapsed (375 x 812px)
9864-172179	Frame 400
10706-128843	Frame 267
10706-128950	Frame 1356
10706-129546	Frame 1357
